Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Óscar Rodríguez	INEOS Grenadiers	Spain	179 cm	63 kg	30 jaar	54	31	20	50	55	31	28	49	39	25
Ibon Ruiz	Equipo Kern Pharma	Spain	178 cm	65 kg	27 jaar	54	48	54	56	41	38	25	43	60	20
Nicolas Vinokurov	XDS Astana Team	Kazakhstan	184 cm	65 kg	23 jaar	54	38	20	41	53	52	23	48	33	23
Hannes Wilksch	Tudor Pro Cycling Team	Germany	181 cm	62 kg	24 jaar	54	37	31	61	34	31	27	37	60	27
Alexandre Mayer	Burgos Burpellet BH	Mauritius	178 cm	64 kg	27 jaar	54	49	20	41	29	27	54	32	48	44
Alessandro Fancellu	MBH Bank Ballan Telecom Fort	Italy	172 cm	62 kg	25 jaar	54	44	20	57	44	37	20	48	55	20
Alberto Bruttomesso	Bahrain Victorious	Italy	179 cm	0 kg	22 jaar	54	50	36	38	22	63	20	28	55	20
Žak Eržen	Bahrain Victorious	Slovenia		0 kg	20 jaar	53	46	35	36	21	62	20	27	52	20
Ben Granger	Solution Tech-NIPPO-Rali	Great Britain	183 cm	71 kg	25 jaar	53	41	20	62	23	32	20	25	65	20
Olivier Le Gac	Groupama-FDJ United	France	180 cm	70 kg	32 jaar	53	47	54	46	25	46	23	34	63	23
Dion Smith	NSN Cycling Team	New Zealand	179 cm	67 kg	32 jaar	53	42	36	56	30	47	20	40	59	20
Colby Simmons	EF Education-EasyPost	United States	185 cm	68 kg	22 jaar	53	46	44	49	38	55	29	36	59	30
Amanuel Ghebreigzabhier	Lidl-Trek	Eritrea	187 cm	68 kg	31 jaar	53	36	20	60	37	26	28	44	52	26
Jorge Gutiérrez	Equipo Kern Pharma	Spain	178 cm	54 kg	23 jaar	53	37	20	56	47	30	20	42	59	20
Pau Martí	NSN Cycling Team	Spain		0 kg	21 jaar	53	43	31	58	44	29	25	38	56	23
Enzo Paleni	Groupama-FDJ United	France	180 cm	65 kg	23 jaar	53	45	33	56	35	46	47	45	53	46
Clément Alleno	Burgos Burpellet BH	France	180 cm	69 kg	25 jaar	53	43	33	55	42	47	27	43	61	25
Luca Paletti	Bardiani CSF 7 Saber	Italy		0 kg	21 jaar	53	40	20	59	36	35	25	36	64	20
Noah Hobbs	EF Education-EasyPost	Great Britain	175 cm	67 kg	21 jaar	53	48	35	39	22	61	28	32	49	28
Abram Stockman	Unibet Rose Rockets	Belgium	182 cm	67 kg	29 jaar	53	48	47	39	24	56	29	29	62	31
Nicolò Buratti	MBH Bank Ballan Telecom Fort	Italy		0 kg	24 jaar	53	43	39	55	31	52	20	36	57	20
Martin Tjøtta	Uno-X Mobility	Norway		0 kg	24 jaar	53	36	31	58	42	33	20	44	53	20
Byron Munton	Modern Adventure Pro Cycling	South Africa	178 cm	60 kg	27 jaar	53	42	20	34	52	28	56	37	44	59
Joren Bloem	Unibet Rose Rockets	Netherlands		0 kg	26 jaar	53	49	42	38	23	56	36	29	59	20
Davide Bais	Team Polti VisitMalta	Italy	183 cm	66 kg	27 jaar	53	40	20	56	40	41	20	41	62	20
Fabien Doubey	Team TotalEnergies	France	174 cm	62 kg	32 jaar	53	43	20	54	44	40	30	48	52	20
Fabian Weiss	Tudor Pro Cycling Team	Switzerland	181 cm	0 kg	23 jaar	52	45	36	55	32	38	43	30	59	37
Niklas Behrens	Team Visma | Lease a Bike	Germany	195 cm	80 kg	22 jaar	52	50	31	47	26	54	42	28	55	41
Gorka Sorarrain	Caja Rural-Seguros RGA	Spain	185 cm	76 kg	29 jaar	52	39	20	57	30	43	20	36	59	20
Jon Agirre	Euskaltel-Euskadi	Spain	173 cm	55 kg	28 jaar	52	37	20	53	49	30	20	45	55	20
Lars Craps	Lotto-Intermarché	Belgium	185 cm	67 kg	24 jaar	52	41	48	55	43	33	26	44	49	26
Sean Quinn	EF Education-EasyPost	United States	187 cm	67 kg	25 jaar	52	33	20	50	55	33	34	41	37	30
Axel van der Tuuk	Euskaltel-Euskadi	Netherlands	183 cm	0 kg	24 jaar	52	49	31	37	24	40	49	42	47	40
Jonathan Vervenne	Soudal Quick-Step	Belgium	188 cm	75 kg	22 jaar	52	50	28	41	22	38	58	26	54	54
Dylan Vandenstorme	Team Flanders-Baloise	Belgium	172 cm	64 kg	23 jaar	52	45	54	43	25	48	20	30	58	20
Alan Hatherly	Team Jayco-AlUla	South Africa	178 cm	65 kg	29 jaar	52	41	20	55	30	37	47	42	47	48
Sente Sentjens	Alpecin-Premier Tech	Belgium	191 cm	85 kg	20 jaar	52	45	31	34	21	60	20	28	56	20
Adria Perìcas	UAE Team Emirates-XRG	Spain		0 kg	19 jaar	52	44	33	56	44	26	40	38	55	36
Jacopo Mosca	Lidl-Trek	Italy	173 cm	65 kg	32 jaar	52	41	28	54	31	53	20	38	60	20
Valerio Conti	Solution Tech-NIPPO-Rali	Italy	172 cm	61 kg	32 jaar	52	41	31	57	39	35	20	41	55	20
Sergi Darder	Caja Rural-Seguros RGA	Spain	173 cm	67 kg	22 jaar	52	43	31	46	26	57	20	28	60	20
Leander Van Hautegem	Team Flanders-Baloise	Belgium	186 cm	64 kg	22 jaar	52	40	32	44	27	57	20	31	57	20
Txomin Juaristi	Euskaltel-Euskadi	Spain	182 cm	67 kg	30 jaar	52	43	20	53	39	35	43	46	53	35
Antonio Jesús Soto	Equipo Kern Pharma	Spain	175 cm	66 kg	31 jaar	52	45	32	43	34	57	22	34	57	22
Pepijn Reinderink	Soudal Quick-Step	Netherlands	180 cm	67 kg	23 jaar	52	47	52	49	29	50	38	39	55	36
Lorenzo Conforti	Bardiani CSF 7 Saber	Italy		0 kg	21 jaar	51	44	20	48	23	56	20	31	56	20
Frits Biesterbos	Team Picnic PostNL	Netherlands		0 kg	24 jaar	51	45	35	37	27	51	39	29	52	20
Steven Kruijswijk	Team Visma | Lease a Bike	Netherlands	178 cm	63 kg	38 jaar	51	28	20	43	54	24	20	49	32	20
Henrik Pedersen	Uno-X Mobility	Denmark	181 cm	0 kg	21 jaar	51	50	38	43	23	54	37	28	59	38
Alan Jousseaume	Team TotalEnergies	France	177 cm	0 kg	27 jaar	51	40	20	53	48	37	20	34	57	20
Koen Bouwman	Team Jayco-AlUla	Netherlands	178 cm	60 kg	32 jaar	51	34	20	49	50	34	32	47	41	30
Matteo Badilatti	Pinarello-Q36.5 Pro Cycling Team	Switzerland	178 cm	62 kg	33 jaar	51	31	20	52	51	28	23	45	51	20
Asbjørn Hellemose	Team Jayco-AlUla	Denmark	192 cm	65 kg	27 jaar	51	35	31	55	42	33	20	45	50	20
Louis Rouland	Cofidis	France	184 cm	55 kg	23 jaar	51	36	20	55	42	40	20	44	51	20
Michele Gazzoli	Solution Tech-NIPPO-Rali	Italy	180 cm	76 kg	26 jaar	51	44	54	39	25	48	20	31	52	20
Attilio Viviani	Solution Tech-NIPPO-Rali	Italy	174 cm	69 kg	29 jaar	51	43	20	34	26	62	20	29	41	20
Francisco Peñuela	Caja Rural-Seguros RGA	Venezuela	175 cm	56 kg	25 jaar	51	42	20	53	35	50	20	30	62	20
Alex Tolio	Bardiani CSF 7 Saber	Italy		0 kg	25 jaar	51	36	20	53	46	30	20	46	54	20
Georgios Boúglas	Burgos Burpellet BH	Greece	181 cm	71 kg	35 jaar	51	44	20	42	28	58	25	36	45	24
Thomas Gloag	Pinarello-Q36.5 Pro Cycling Team	Great Britain	181 cm	60 kg	24 jaar	51	29	20	51	47	39	27	50	24	21
Roel van Sintmaartensdijk	Lotto-Intermarché	Netherlands	197 cm	77 kg	24 jaar	51	49	52	41	27	46	36	38	59	34
Tomáš Kopecký	Unibet Rose Rockets	Czech Republic	191 cm	73 kg	25 jaar	51	50	48	44	24	46	37	36	60	34
Javier Serrano	Team Polti VisitMalta	Spain	172 cm	60 kg	24 jaar	51	38	20	49	37	53	20	27	58	20
Martin Urianstad Bugge	Uno-X Mobility	Norway	175 cm	61 kg	27 jaar	50	41	42	51	30	46	20	34	58	20
Jordi Lopez	Euskaltel-Euskadi	Spain	170 cm	59 kg	27 jaar	50	34	20	54	36	38	20	43	52	20
Elias Maris	Team Flanders-Baloise	Belgium	177 cm	64 kg	26 jaar	50	41	47	51	27	42	20	34	55	20
Jakob Omrzel	Bahrain Victorious	Slovenia	185 cm	62 kg	19 jaar	50	36	20	52	45	29	20	42	48	20
Matteo Fabbro	Solution Tech-NIPPO-Rali	Italy	167 cm	52 kg	30 jaar	50	33	20	53	42	28	20	41	52	20
Mario Aparicio	Burgos Burpellet BH	Spain	185 cm	69 kg	25 jaar	50	35	20	46	48	29	32	49	44	20
Timo de Jong	Team Picnic PostNL	Netherlands	191 cm	72 kg	26 jaar	50	50	30	41	21	56	20	36	50	20
César Macías	Burgos Burpellet BH	Mexico		0 kg	22 jaar	50	43	20	43	23	58	20	26	48	20
Jelle Johannink	Unibet Rose Rockets	Netherlands		0 kg	29 jaar	50	46	43	51	24	38	20	32	63	20
Hugo de la Calle	Burgos Burpellet BH	Spain	180 cm	65 kg	21 jaar	50	38	20	52	43	44	25	40	55	25
Gil Gelders	Soudal Quick-Step	Belgium	179 cm	66 kg	23 jaar	50	43	41	52	34	43	27	39	60	26
Tom Donnenwirth	Groupama-FDJ United	France	178 cm	63 kg	28 jaar	50	39	20	51	42	48	20	40	57	20
Santiago Umba	Solution Tech-NIPPO-Rali	Colombia	170 cm	58 kg	23 jaar	50	32	20	48	51	33	20	43	47	20
Alessandro Romele	XDS Astana Team	Italy	186 cm	71 kg	22 jaar	50	51	50	47	29	44	26	36	62	26
Samuel Leroux	Team TotalEnergies	France	189 cm	79 kg	31 jaar	50	48	43	43	25	50	49	45	53	47
Fernando Tercero	Team Polti VisitMalta	Spain	182 cm	65 kg	24 jaar	50	35	20	48	50	37	20	45	54	20
Matthew Dinham	Team Picnic PostNL	Australia	175 cm	63 kg	25 jaar	50	36	20	55	33	39	23	37	53	23
Juan Martinez	Team Picnic PostNL	Colombia	172 cm	0 kg	21 jaar	50	30	20	48	50	30	25	45	43	25
Daniel Cavia	Burgos Burpellet BH	Spain	169 cm	62 kg	23 jaar	50	40	27	44	23	52	20	42	46	20
Thomas Pesenti	Team Polti VisitMalta	Italy		0 kg	26 jaar	50	41	36	54	36	39	20	41	54	20
Mathieu Kockelmann	Lotto-Intermarché	Luxembourg	183 cm	70 kg	22 jaar	50	46	28	36	27	57	35	32	43	28
Jakub Otruba	Caja Rural-Seguros RGA	Czech Republic	190 cm	75 kg	28 jaar	50	41	20	42	44	36	47	45	45	45
Valentin Ferron	Cofidis	France	174 cm	67 kg	28 jaar	50	41	20	54	28	38	24	36	63	24
Julius Johansen	UAE Team Emirates-XRG	Denmark	188 cm	77 kg	26 jaar	50	44	29	49	28	36	45	37	49	43
Alessandro Tonelli	Team Polti VisitMalta	Italy	176 cm	64 kg	33 jaar	50	37	20	53	42	33	33	45	50	31
Markel Beloki	EF Education-EasyPost	Spain	183 cm	0 kg	20 jaar	50	37	20	50	51	31	40	40	45	34
Mathijs Paasschens	Bahrain Victorious	Netherlands	188 cm	75 kg	29 jaar	50	38	37	53	37	39	20	39	57	20
Matys Grisel	Lotto-Intermarché	France		0 kg	20 jaar	49	46	33	39	24	54	20	28	53	20
Mattia Pinazzi	Bardiani CSF 7 Saber	Italy		0 kg	24 jaar	49	40	23	33	23	60	20	28	40	20
Diego Sevilla	Team Polti VisitMalta	Spain	171 cm	64 kg	29 jaar	49	36	20	52	34	43	20	36	59	20
Ludovic Robeet	Cofidis	Belgium	194 cm	75 kg	31 jaar	49	43	52	39	23	43	22	29	55	23
Tyler Stites	Modern Adventure Pro Cycling	United States	178 cm	60 kg	27 jaar	49	45	20	44	32	38	46	34	42	42
Davide Toneatti	XDS Astana Team	Italy	180 cm	65 kg	24 jaar	49	42	52	48	34	34	20	35	53	20
Anton Schiffer	Team Visma | Lease a Bike	Germany	178 cm	62 kg	26 jaar	49	34	20	43	43	34	28	50	42	20
Samuele Zoccarato	MBH Bank Ballan Telecom Fort	Italy	183 cm	74 kg	28 jaar	49	39	32	52	43	37	27	33	57	27
Emmanuel Houcou	Pinarello-Q36.5 Pro Cycling Team	France	184 cm	0 kg	23 jaar	49	42	34	33	22	58	20	25	46	20
Jambaljamts Sainbayar	Burgos Burpellet BH	Mongolia	171 cm	60 kg	29 jaar	49	46	20	49	36	41	49	42	51	51
Simon Dalby	Uno-X Mobility	Denmark		0 kg	23 jaar	49	32	24	51	45	29	20	42	50	20
Joshua Giddings	Lotto-Intermarché	Great Britain	195 cm	0 kg	22 jaar	49	47	46	34	22	52	37	30	53	36
Clément Izquierdo	Cofidis	France		0 kg	24 jaar	49	40	37	53	30	42	26	37	50	25
Nickolas Zukowsky	Pinarello-Q36.5 Pro Cycling Team	Canada	188 cm	0 kg	27 jaar	49	40	40	52	29	39	30	33	59	33
Lindsay De Vylder	Alpecin-Premier Tech	Belgium	183 cm	70 kg	30 jaar	49	42	30	36	21	57	20	26	50	20
Geoffrey Bouchard	Team TotalEnergies	France	178 cm	63 kg	33 jaar	49	26	20	40	53	23	20	42	35	20
Tilen Finkšt	Solution Tech-NIPPO-Rali	Slovenia	176 cm	70 kg	28 jaar	49	44	20	42	27	52	33	30	48	33
Oscar Chamberlain	Decathlon CMA CGM Team	Australia	194 cm	74 kg	21 jaar	49	45	52	38	23	40	45	29	49	44
Dillon Corkery	Team Picnic PostNL	Ireland		0 kg	27 jaar	49	47	26	42	23	54	20	26	60	20
Sergio Meris	Unibet Rose Rockets	Italy	180 cm	0 kg	24 jaar	49	37	20	54	35	31	20	27	58	20
Vincent Van Hemelen	Team Flanders-Baloise	Belgium	191 cm	71 kg	25 jaar	49	43	42	45	27	38	42	39	55	36
Simon Carr	Cofidis	Great Britain	183 cm	66 kg	27 jaar	48	35	20	50	50	30	32	36	50	22
Adam Ťoupalík	Unibet Rose Rockets	Czech Republic	175 cm	65 kg	29 jaar	48	41	20	50	27	40	34	34	53	36
Marco Schrettl	XDS Astana Team	Austria	181 cm	63 kg	22 jaar	48	40	20	54	26	31	20	33	54	20
Jardi van der Lee	EF Education-EasyPost	Netherlands	185 cm	0 kg	24 jaar	48	33	20	47	50	27	20	37	53	20
Yukiya Arashiro	Solution Tech-NIPPO-Rali	Japan	170 cm	64 kg	41 jaar	48	44	20	47	23	38	46	31	56	50
Tobias Bayer	Alpecin-Premier Tech	Austria	187 cm	70 kg	26 jaar	48	38	29	50	29	43	29	39	52	28
Lev Gonov	XDS Astana Team	Russia	186 cm	76 kg	26 jaar	48	42	25	34	24	54	32	31	41	32
Nadav Raisberg	NSN Cycling Team	Israel	178 cm	67 kg	24 jaar	48	41	45	47	27	48	20	37	53	20
Joseba López	Caja Rural-Seguros RGA	Spain	181 cm	66 kg	25 jaar	48	39	32	49	32	47	20	29	58	20
Michel Heßmann	Movistar Team	Germany	191 cm	78 kg	24 jaar	48	35	20	52	31	35	33	39	40	26
Jan Castellon	Caja Rural-Seguros RGA	Spain	170 cm	55 kg	22 jaar	48	31	20	35	48	28	33	48	36	20
Menno Huising	Team Visma | Lease a Bike	Netherlands	185 cm	0 kg	21 jaar	48	40	29	51	34	42	28	37	55	25
Kamil Gradek	Bahrain Victorious	Poland	194 cm	83 kg	35 jaar	48	41	52	34	24	42	36	37	49	38
Sebastian Berwick	Caja Rural-Seguros RGA	Australia	175 cm	59 kg	26 jaar	48	38	20	50	50	30	21	37	51	21
Samuel Fernández	Caja Rural-Seguros RGA	Spain	176 cm	57 kg	22 jaar	47	36	20	50	32	34	31	37	52	20
Cedrik Bakke Christophersen	Unibet Rose Rockets	Norway		0 kg	24 jaar	47	33	20	48	41	28	20	43	46	20
Manlio Moro	Movistar Team	Italy	190 cm	81 kg	23 jaar	47	42	45	39	24	47	37	33	52	32
Martin Svrček	Soudal Quick-Step	Slovakia	175 cm	66 kg	23 jaar	47	41	33	50	30	38	35	32	53	36
Robbe Ghys	Decathlon CMA CGM Team	Belgium	182 cm	72 kg	29 jaar	47	46	38	34	23	51	20	34	54	20
Carlos García Pierna	Burgos Burpellet BH	Spain	171 cm	58 kg	26 jaar	47	36	20	50	39	33	20	40	52	20
Paul Ourselin	Cofidis	France	185 cm	70 kg	31 jaar	47	37	20	49	39	42	20	40	53	20
Michael Gogl	Alpecin-Premier Tech	Austria	186 cm	71 kg	32 jaar	47	35	30	53	28	32	23	34	54	23
Alexandre Balmer	Solution Tech-NIPPO-Rali	Switzerland	191 cm	70 kg	25 jaar	47	39	27	52	30	29	23	33	55	20
Maurice Ballerstedt	Alpecin-Premier Tech	Germany	185 cm	81 kg	25 jaar	47	38	33	35	25	52	24	31	51	20
Killian Verschuren	Unibet Rose Rockets	France	165 cm	54 kg	23 jaar	47	31	20	47	48	28	20	38	54	20
Mats Wenzel	Equipo Kern Pharma	Luxembourg	187 cm	68 kg	23 jaar	47	41	33	49	29	36	33	42	52	28
Karsten Feldmann	Unibet Rose Rockets	Norway		0 kg	22 jaar	47	45	20	35	20	55	20	29	45	20
Ronan Augé	Unibet Rose Rockets	France	174 cm	61 kg	21 jaar	47	39	28	38	24	53	20	27	48	20
Joel Suter	Tudor Pro Cycling Team	Switzerland	190 cm	75 kg	27 jaar	47	40	20	28	26	29	52	28	37	51
Germán Darío Gómez	Team Polti VisitMalta	Colombia		0 kg	24 jaar	47	32	20	43	48	33	31	42	44	31
Valentin Retailleau	Team TotalEnergies	France	181 cm	64 kg	25 jaar	47	41	24	46	30	49	20	27	56	20
Mikel Retegi	Equipo Kern Pharma	Spain	177 cm	64 kg	24 jaar	47	37	32	49	37	41	20	29	53	20
Rodrigo Álvarez	Burgos Burpellet BH	Spain	175 cm	65 kg	26 jaar	47	39	20	37	30	51	20	37	42	20
Milan Lanhove	Team Flanders-Baloise	Belgium	181 cm	69 kg	22 jaar	46	43	43	42	23	46	26	38	54	25
Robin Donzé	Tudor Pro Cycling Team	Switzerland		0 kg	22 jaar	46	36	23	48	42	29	20	33	53	20
Wessel Mouris	Unibet Rose Rockets	Netherlands		0 kg	23 jaar	46	44	24	33	22	42	48	34	47	45
Silvan Dillier	Alpecin-Premier Tech	Switzerland	183 cm	75 kg	35 jaar	46	39	47	42	36	42	26	41	51	25
Julius van den Berg	Team Picnic PostNL	Netherlands	190 cm	78 kg	29 jaar	46	40	48	35	25	46	24	33	48	23
Fabien Grellier	Team TotalEnergies	France	180 cm	65 kg	31 jaar	46	33	20	49	34	37	25	34	54	26
José Luis Faura	Burgos Burpellet BH	Spain	182 cm	65 kg	25 jaar	46	34	20	47	44	26	30	39	49	20
Lucas Hamilton	INEOS Grenadiers	Australia	184 cm	71 kg	30 jaar	46	34	20	49	40	35	26	38	49	20
Patrick Gamper	Team Jayco-AlUla	Austria	194 cm	80 kg	28 jaar	46	43	37	42	28	46	45	39	51	43
Tobias Müller	Unibet Rose Rockets	Germany	174 cm	64 kg	21 jaar	46	41	29	34	20	52	25	25	48	25
Alessandro Borgo	Bahrain Victorious	Italy	183 cm	0 kg	21 jaar	46	46	40	46	27	43	36	29	54	36
Toon Aerts	Lotto-Intermarché	Belgium	188 cm	72 kg	32 jaar	46	39	39	48	28	44	20	37	45	20
Andrea Pietrobon	Team Polti VisitMalta	Italy	190 cm	72 kg	26 jaar	46	37	20	41	26	49	25	35	47	25
Márton Dina	MBH Bank Ballan Telecom Fort	Hungary	186 cm	67 kg	29 jaar	46	38	20	46	43	29	20	43	43	20
Alexys Brunel	Team TotalEnergies	France	191 cm	70 kg	27 jaar	46	47	39	35	20	42	45	27	59	47
Warre Vangheluwe	Soudal Quick-Step	Belgium	189 cm	79 kg	24 jaar	46	43	34	36	21	51	23	28	50	20
Manuele Tarozzi	Bardiani CSF 7 Saber	Italy		0 kg	27 jaar	46	35	20	45	45	34	20	42	45	20
Yaël Joalland	Cofidis	France		0 kg	25 jaar	46	37	20	47	38	40	20	36	55	20
Jarrad Drizners	Red Bull-BORA-hansgrohe	Australia	186 cm	70 kg	26 jaar	46	43	20	40	27	49	31	39	48	30
Sebastian Kolze Changizi	Tudor Pro Cycling Team	Denmark	181 cm	0 kg	25 jaar	46	40	37	32	23	51	20	32	49	20
Antoine L'Hote	Decathlon CMA CGM Team	France	190 cm	72 kg	20 jaar	45	45	31	48	29	38	25	35	48	20
Florian Kajamini	XDS Astana Team	Italy	174 cm	0 kg	22 jaar	45	34	25	45	45	41	20	41	43	20
Loe van Belle	Team Visma | Lease a Bike	Netherlands	184 cm	0 kg	24 jaar	45	42	36	38	23	47	30	28	50	26
Gianni Moscon	Red Bull-BORA-hansgrohe	Italy	180 cm	71 kg	31 jaar	45	38	37	44	31	46	28	40	46	25
Floris Van Tricht	NSN Cycling Team	Belgium	176 cm	69 kg	24 jaar	45	43	45	39	22	45	20	25	54	20
Cesare Chesini	MBH Bank Ballan Telecom Fort	Italy		0 kg	21 jaar	45	35	20	50	34	27	20	32	51	20
Dario Belletta	Team Polti VisitMalta	Italy	187 cm	73 kg	22 jaar	45	44	33	47	29	38	27	28	55	27
Jonas Geens	Alpecin-Premier Tech	Belgium	183 cm	78 kg	27 jaar	45	39	44	45	26	40	29	37	49	31
Thomas Bonnet	Team TotalEnergies	France	175 cm	0 kg	27 jaar	45	40	39	46	34	37	20	35	54	20
Adrien Boichis	Red Bull-BORA-hansgrohe	France		68 kg	23 jaar	45	36	28	50	32	29	27	32	50	20
Mark Stewart	Modern Adventure Pro Cycling	Great Britain	180 cm	70 kg	30 jaar	45	39	20	47	34	37	20	38	49	20
Tim Marsman	Alpecin-Premier Tech	Netherlands	191 cm	75 kg	25 jaar	45	45	28	35	21	38	38	34	47	24
Alessio Martinelli	Bardiani CSF 7 Saber	Italy	170 cm	0 kg	24 jaar	45	34	20	51	33	31	20	32	48	20
Filippo Conca	Team Jayco-AlUla	Italy	191 cm	80 kg	27 jaar	45	34	20	50	31	31	20	31	52	20
Luke Durbridge	Team Jayco-AlUla	Australia	187 cm	78 kg	34 jaar	45	40	43	39	30	37	42	40	47	37
Iker Mintegi	Euskaltel-Euskadi	Spain		0 kg	23 jaar	45	36	27	48	34	34	20	36	53	20
Francisco Muñoz	Team Polti VisitMalta	Spain	181 cm	71 kg	24 jaar	45	34	20	39	24	48	25	40	40	25
Victor Vercouillie	Team Flanders-Baloise	Belgium	181 cm	66 kg	23 jaar	45	45	42	36	21	45	40	29	54	39
