Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGT	WAP	LBL	Races	Specialiteit
MIKUTIS Aivaras	2	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	TT
PLUIMERS Rick	4	Tudor Pro Cycling Team	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	5	Oneday
MORO Manlio	2	Movistar Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Oneday
KELEMEN Petr	2	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	TT
DE JONG Timo	2	Team Picnic PostNL	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Sprint
MAYER Alexandre	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	TT
BOUGLAS Georgios	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Sprint
KRIJNSEN Jelte	3	Team Jayco AlUla	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	10	GC
GROVES Kaden	6	Alpecin-Premier Tech	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	7	Hills
PLANCKAERT Edward	3	Alpecin-Premier Tech	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
KIRSCH Alex	3	Cofidis	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	8	TT
WELLENS Tim	6	UAE Team Emirates - XRG	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	GC
DE LIE Arnaud	6	Lotto Intermarché	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	6	Oneday
WRIGHT Fred	4	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	7	Hills
TRONCHON Bastien	3	Groupama - FDJ United	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	7	Oneday
PEDERSEN Rasmus Søjberg	3	Decathlon CMA CGM Team	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	Sprint
VAN BOVEN Luca	3	Lotto Intermarché	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	Hills
BRUNEL Alexys	3	TotalEnergies	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	TT
BARTHE Cyril	3	Groupama - FDJ United	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Hills
CAPIOT Amaury	3	Team Jayco AlUla	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	10	Oneday
MULLEN Ryan	2	NSN Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	TT
KMÍNEK Vojtěch	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
O'BRIEN Kelland	2	Team Jayco AlUla	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	TT
VADIC Baptiste	2	TotalEnergies	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	TT
DE PESTEL Sander	2	Decathlon CMA CGM Team	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
JEANNIÈRE Emilien	4	TotalEnergies	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Oneday
MOSCHETTI Matteo	4	Pinarello Q36.5 Pro Cycling Team	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
DILLIER Silvan	3	Alpecin-Premier Tech	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Oneday
HERREGODTS Rune	3	UAE Team Emirates - XRG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	TT
TOWNSEND Rory	3	Unibet Rose Rockets	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
MEZGEC Luka	3	Team Jayco AlUla	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Hills
SENTJENS Sente	2	Alpecin-Premier Tech	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	5	Sprint
REINDERS Elmar	2	Unibet Rose Rockets	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	6	Oneday
BOARDMAN Samuel	2	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	TT
CHRISTIAN Sean	2	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Sprint
GONOV Lev	2	XDS Astana Team	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
BRENNAN Matthew	6	Team Visma | Lease a Bike	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	6	Sprint
MOZZATO Luca	4	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Oneday
TRENTIN Matteo	5	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Oneday
GOVEKAR Matevž	3	Bahrain - Victorious	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Hills
TEUNISSEN Mike	4	XDS Astana Team	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	8	Oneday
REX Laurenz	4	Soudal - Quick Step	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	Oneday
ANDRESEN Tobias Lund	4	Decathlon CMA CGM Team	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	6	Sprint
BOL Cees	4	Decathlon CMA CGM Team	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
LAMPERTI Luke	4	EF Education - EasyPost	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	9	Sprint
MEEUS Jordi	5	Red Bull - BORA - hansgrohe	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	7	Oneday
HOFSTETTER Hugo	5	NSN Cycling Team	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	8	Oneday
BARRENETXEA Jon	3	Movistar Team	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	Hills
VAN DIJKE Tim	3	Red Bull - BORA - hansgrohe	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	5	TT
DAUPHIN Florian	2	TotalEnergies	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Sprint
GARCÍA CORTINA Iván	4	Movistar Team	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	4	Oneday
KOPECKÝ Matyáš	2	Unibet Rose Rockets	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Sprint
DE SCHUYTENEER Steffen	3	Lotto Intermarché	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	Sprint
LAPORTE Christophe	5	Team Visma | Lease a Bike	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	9	Oneday
PHILIPSEN Jasper	9	Alpecin-Premier Tech	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	9	Sprint
ZINGLE Axel	4	Team Visma | Lease a Bike	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	5	Oneday
KIELICH Timo	3	Team Visma | Lease a Bike	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	7	Oneday
MATTIO Pietro	2	Team Visma | Lease a Bike	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Hills
FIORELLI Filippo	3	Team Visma | Lease a Bike	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	Hills
MIQUEL Pau	3	Bahrain - Victorious	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	Hills
OLIVER Ben	2	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Sprint
CANAL Carlos	3	Movistar Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Hills
HUENS Axel	3	Groupama - FDJ United	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
BRAET Vito	3	Lotto Intermarché	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
RESELL Erik Nordsæter	2	Uno-X Mobility	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
OLIVEIRA Rui	3	UAE Team Emirates - XRG	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	6	Hills
ALBANESE Vincenzo	3	EF Education - EasyPost	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	8	Hills
MOHORIČ Matej	5	Bahrain - Victorious	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	9	Oneday
JOHANSEN Julius	2	UAE Team Emirates - XRG	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	5	TT
BOULAHOITE Rayan	2	TotalEnergies	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GC
HONORÉ Mikkel Frølich	3	EF Education - EasyPost	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	5	Oneday
HOBBS Noah	3	EF Education - EasyPost	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
THEUNS Edward	3	Lidl - Trek	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
LEROUX Samuel	2	TotalEnergies	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	GC
MACÍAS César	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Sprint
SIMMONS Colby	2	EF Education - EasyPost	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
ROOSEN Timo	2	Team Picnic PostNL	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
BURNETT Josh	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GC
VERMEERSCH Florian	5	UAE Team Emirates - XRG	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	9	Oneday
DE GENDT Aimé	3	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Oneday
RENARD Alexis	3	Cofidis	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	6	Oneday
MAGNIER Paul	7	Soudal - Quick Step	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	4	Oneday
PITHIE Laurence	4	Red Bull - BORA - hansgrohe	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	7	Oneday
POLITT Nils	4	UAE Team Emirates - XRG	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
BERCKMOES Jenno	4	Lotto Intermarché	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	8	Oneday
ABRAHAMSEN Jonas	4	Uno-X Mobility	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	7	Oneday
VAN DIJKE Mick	3	Red Bull - BORA - hansgrohe	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	GC
GIRMAY Biniam	5	NSN Cycling Team	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	Oneday
DE BONDT Dries	4	Team Jayco AlUla	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	8	Oneday
VAN DEN BERG Marijn	4	EF Education - EasyPost	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	7	Hills
MARIT Arne	4	Red Bull - BORA - hansgrohe	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	6	Oneday
BALLERINI Davide	4	XDS Astana Team	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	5	Oneday
SEGAERT Alec	4	Bahrain - Victorious	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	6	TT
ASKEY Lewis	4	NSN Cycling Team	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	4	Oneday
VAN BAARLE Dylan	4	Soudal - Quick Step	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	4	Oneday
ASGREEN Kasper	4	EF Education - EasyPost	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	TT
SKUJIŅŠ Toms	4	Lidl - Trek	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	5	Oneday
TILLER Rasmus	4	Uno-X Mobility	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
PAGE Hugo	3	Cofidis	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	5	Oneday
NAESEN Oliver	3	Decathlon CMA CGM Team	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	5	Oneday
SHEEHAN Riley	3	NSN Cycling Team	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	4	Oneday
LAMPAERT Yves	3	Soudal - Quick Step	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	4	Oneday
ANIOŁKOWSKI Stanisław	3	Cofidis	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	Sprint
ALLEGAERT Piet	3	Cofidis	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Oneday
LOUVEL Matis	3	NSN Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	Oneday
VAN MOER Brent	3	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	Oneday
FRISON Frederik	3	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Oneday
DEGENKOLB John	3	Team Picnic PostNL	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	4	Oneday
HALLER Marco	3	Tudor Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Oneday
JACOBS Johan	3	Groupama - FDJ United	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
VAN GESTEL Dries	3	Soudal - Quick Step	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
LARSEN Niklas	3	Unibet Rose Rockets	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
DEWULF Stan	3	Decathlon CMA CGM Team	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
RUSSO Clément	3	Groupama - FDJ United	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
ROMELE Alessandro	3	XDS Astana Team	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
GRADEK Kamil	2	Bahrain - Victorious	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	TT
CAVIA Daniel	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	GC
ALLENO Clément	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Hills
BOIVIN Guillaume	2	NSN Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Oneday
MAŁECKI Kamil	2	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	GC
RASENBERG Martijn	2	Unibet Rose Rockets	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
GATE Aaron	2	XDS Astana Team	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	GC
Maciejuk Filip	2	Movistar Team	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRIZNERS Jarrad	2	Red Bull - BORA - hansgrohe	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BÉVORT Carl-Frederik	2	Uno-X Mobility	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
DONALDSON Robert	2	Team Jayco AlUla	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
MILAN Jonathan	7	Lidl - Trek	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	4	Sprint
GROENEWEGEN Dylan	4	Unibet Rose Rockets	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	4	Sprint
BAUHAUS Phil	4	Bahrain - Victorious	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Sprint
AULAR Orluis	4	Movistar Team	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Hills
BITTNER Pavel	4	Team Picnic PostNL	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	4	Sprint
PENHOËT Paul	4	Groupama - FDJ United	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
KANTER Max	4	XDS Astana Team	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Sprint
ACKERMANN Pascal	4	Team Jayco AlUla	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
MOLANO Juan Sebastián	4	UAE Team Emirates - XRG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
ADRIÀ Roger	3	Movistar Team	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	5	Oneday
CRABBE Tom	3	Team Flanders - Baloise	0	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	6	Sprint
HOOLE Daan	3	Decathlon CMA CGM Team	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	5	TT
RICKAERT Jonas	3	Alpecin-Premier Tech	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Oneday
SÖDERQVIST Jakob	3	Lidl - Trek	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	TT
PICKRELL Riley	3	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Hills
SYRITSA Gleb	3	XDS Astana Team	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Sprint
WALSCHEID Max	3	Lidl - Trek	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
VAN LERBERGHE Bert	3	Soudal - Quick Step	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	Oneday
GEENS Jonas	2	Alpecin-Premier Tech	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	GC
BORGO Alessandro	2	Bahrain - Victorious	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	Sprint
BIESTERBOS Frits	2	Team Picnic PostNL	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	TT
MAAS Jan	2	Cofidis	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GC
FONTAINE Titouan	2	Groupama - FDJ United	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	TT
SUNEKÆR NORSGAARD Mathias	2	Lidl - Trek	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	TT
KESSLER Cole	2	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Hills
STEWART Mark	2	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GC
DE VRIES Hartthijs	2	Unibet Rose Rockets	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Sprint
ØRN-KRISTOFF Felix	2	Lotto Intermarché	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GC
SLOCK Liam	2	Lotto Intermarché	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
Caudell Ezra	2	Modern Adventure Pro Cycling	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEMAN Brem	2	Team Flanders - Baloise	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
GEERAERTS Ferre	2	Team Flanders - Baloise	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
HESTERS Jules	2	Team Flanders - Baloise	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
HUYSMANS Nolan	2	Team Flanders - Baloise	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
TORNEY Artuur	2	Team Flanders - Baloise	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
VAN HAUTEGEM Leander	2	Team Flanders - Baloise	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
MÄRKL Niklas	2	Team Picnic PostNL	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Sprint
THIERRY Pierre	2	TotalEnergies	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
HVIDEBERG Jonas Hem	2	Uno-X Mobility	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
INGEBRIGTSEN Storm	2	Uno-X Mobility	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
PEDERSEN Henrik	2	Uno-X Mobility	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
PARISINI Nicolò	2	Pinarello Q36.5 Pro Cycling Team	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
NABERMAN Tim	2	Team Picnic PostNL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
FROIDEVAUX Robin	2	Tudor Pro Cycling Team	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
KÜNG Stefan	5	Tudor Pro Cycling Team	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	TT
WATSON Samuel	4	INEOS Grenadiers	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Hills
LIVYNS Arjen	3	XDS Astana Team	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	6	Oneday
BISSEGGER Stefan	3	Decathlon CMA CGM Team	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	5	TT
VAN DEN BROEK Frank	3	Team Picnic PostNL	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	6	GC
VAN MECHELEN Vlad	3	Bahrain - Victorious	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Sprint
FOLDAGER Anders	3	Team Jayco AlUla	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Hills
FLYNN Sean	2	Team Picnic PostNL	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	GC
RENARD-HAQUIN Henri-François	2	Team Picnic PostNL	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Hills
GACHIGNARD Thomas	2	TotalEnergies	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	GC
SWIFT Ben	2	INEOS Grenadiers	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
VERGAERDE Otto	2	Lidl - Trek	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
VANDENSTORME Dylan	2	Team Flanders - Baloise	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Oneday
VAN DER POEL Mathieu	14	Alpecin-Premier Tech	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	6	Oneday
